resource_id,title,provider,resource_type,area,skill_ids,target_level,duration_hours,cost,url,description,data_status
RES-BE-001,Fundamentos de Java na Prática,CareerPath Academy,CURSO,BACKEND_JAVA,BE-JAVA-01,1-2,20,GRATUITO,internal://careerpath/res-be-001,"Sintaxe, coleções, métodos e tratamento de exceções em projeto guiado.",FICTICIO_RECONSTRUIDO
RES-BE-002,POO e Modelagem de Domínio,CareerPath Academy,CURSO,BACKEND_JAVA,BE-POO-02,1-3,16,GRATUITO,internal://careerpath/res-be-002,"Encapsulamento, composição, interfaces e separação de responsabilidades.",FICTICIO_RECONSTRUIDO
RES-BE-003,Git e GitHub para Projetos,CareerPath Academy,LAB,BACKEND_JAVA,BE-GIT-03,1-2,8,GRATUITO,internal://careerpath/res-be-003,"Commits, branches, conflitos, pull requests e proteção de segredos.",FICTICIO_RECONSTRUIDO
RES-BE-004,SQL e PostgreSQL Aplicados,CareerPath Academy,CURSO,BACKEND_JAVA,BE-SQL-04,1-3,18,GRATUITO,internal://careerpath/res-be-004,"Modelagem relacional, JOIN, constraints, índices e transações.",FICTICIO_RECONSTRUIDO
RES-BE-005,APIs REST e HTTP,CareerPath Academy,CURSO,BACKEND_JAVA,BE-REST-05,1-3,14,GRATUITO,internal://careerpath/res-be-005,"Endpoints, verbos, status codes, validação e tratamento de erros.",FICTICIO_RECONSTRUIDO
RES-BE-006,Spring Boot: API em Camadas,CareerPath Academy,PROJETO,BACKEND_JAVA,BE-SPRING-06|BE-REST-05,1-3,24,GRATUITO,internal://careerpath/res-be-006,"API com controllers, services, repositories, DTOs e configuração por ambiente.",FICTICIO_RECONSTRUIDO
RES-BE-007,Persistência com JPA e Hibernate,CareerPath Academy,CURSO,BACKEND_JAVA,BE-JPA-07|BE-SQL-04,1-2,14,GRATUITO,internal://careerpath/res-be-007,"Entidades, relacionamentos, transações, lazy/eager e prevenção de N+1.",FICTICIO_RECONSTRUIDO
RES-BE-008,Testes Java com JUnit,CareerPath Academy,LAB,BACKEND_JAVA,BE-TEST-08,1-2,12,GRATUITO,internal://careerpath/res-be-008,Testes unitários e de integração para serviços e endpoints.,FICTICIO_RECONSTRUIDO
RES-BE-009,Segurança Essencial de APIs,CareerPath Academy,CURSO,BACKEND_JAVA,BE-SEC-09,1-2,10,GRATUITO,internal://careerpath/res-be-009,"Autenticação, autorização, hashing, CORS, secrets e validação.",FICTICIO_RECONSTRUIDO
RES-BE-010,Docker para API Java,CareerPath Academy,LAB,BACKEND_JAVA,BE-DOCKER-10,0-1,8,GRATUITO,internal://careerpath/res-be-010,"Dockerfile, Compose, variáveis de ambiente e health checks.",FICTICIO_RECONSTRUIDO
